set_num,year,theme_id,theme_name,number_of_parts,minifig_quantitiy,number_of_colors,number_of_categories,number_of_unique_parts,number_of_different_parts,not_unique_parts,proportion_unique_to_not_unique,complexity_score
11717-1,2020,621,Classic,1504,0.0,49,20,21.0,358,1483.0,0.014160485502360081,0.16335263025421595
60306-1,2021,52,City,533,6.0,28,29,106.0,275,427.0,0.24824355971896955,0.08155046564309086
76944-1,2022,602,Jurassic World,140,3.0,19,24,61.0,87,79.0,0.7721518987341772,0.027602986827754007
71406-1,2022,690,Super Mario,246,0.0,20,24,78.0,154,168.0,0.4642857142857143,0.043376122157899155
60347-1,2022,52,City,404,5.0,28,29,63.0,187,341.0,0.18475073313782991,0.05965265542411276
71411-1,2022,690,Super Mario,2807,0.0,22,28,79.0,545,2728.0,0.028958944281524925,0.29163520429566236
60347-2,2022,52,City,405,5.0,28,29,59.0,170,346.0,0.17052023121387283,0.05797466230388455
4707-1,2001,246,Harry Potter,298,2.0,15,25,47.0,104,251.0,0.18725099601593626,0.04077523282154543
9385-1,2010,507,Educational and Dacta,1231,0.0,33,25,35.0,222,1196.0,0.029264214046822744,0.12928936991358336
6167-1,2006,34,Make & Create,701,2.0,15,19,23.0,169,678.0,0.03392330383480826,0.07752328215454317
40081-4,2013,425,Legoland Parks,122,1.0,11,12,15.0,53,107.0,0.14018691588785046,0.017535028106384763
970670-1,2002,507,Educational and Dacta,288,0.0,12,20,20.0,106,268.0,0.07462686567164178,0.03699974830103197
4097-1,2003,204,Designer Sets,229,0.0,12,17,40.0,224,189.0,0.21164021164021163,0.043376122157899155
9794-1,2003,507,Educational and Dacta,832,0.0,16,26,17.0,328,815.0,0.020858895705521473,0.10185418239785217
9657-1,2012,398,FIRST LEGO League,1612,0.0,18,29,30.0,227,1582.0,0.018963337547408345,0.16033224263780518
5482-1,2006,34,Make & Create,674,0.0,13,11,7.0,127,667.0,0.010494752623688156,0.06938501552143636
1076-1,1999,206,Seasonal,229,1.0,11,15,29.0,93,200.0,0.145,0.031294571692256065
5933-1,2011,34,Make & Create,310,2.0,19,23,28.0,115,282.0,0.09929078014184398,0.04127863075761389
9384-1,2010,507,Educational and Dacta,884,0.0,9,3,0.0,104,884.0,0.0,0.0834801577313533
1354-1,2000,273,Studios,95,2.0,10,15,23.0,49,72.0,0.3194444444444444,0.015857034986156558
41573-1,2016,580,Mixels,61,0.0,9,15,12.0,36,49.0,0.24489795918367346,0.010739155969460526
9790-1,1999,507,Educational and Dacta,727,0.0,10,24,9.0,140,718.0,0.012534818941504178,0.07592918869032637
fruit5-1,2007,22,Creator,9,0.0,3,5,5.0,7,4.0,1.25,0.0020135917442738486
10654-1,2016,621,Classic,1600,0.0,18,13,4.0,228,1596.0,0.002506265664160401,0.15588556086920044
4524-1,2002,206,Seasonal,240,0.0,15,17,39.0,130,201.0,0.19402985074626866,0.03658025002097491
3831-1,2008,272,SpongeBob SquarePants,279,3.0,18,26,37.0,100,242.0,0.15289256198347106,0.03842604245322594
40098-1,2014,408,LEGO Brand Store,43,0.0,7,11,10.0,23,33.0,0.30303030303030304,0.007467069385015522
41518-1,2014,580,Mixels,64,0.0,8,9,10.0,32,54.0,0.18518518518518517,0.009900159409346422
10681-1,2014,34,Make & Create,600,0.0,20,12,27.0,223,573.0,0.04712041884816754,0.07357999832200687
75091-1,2015,158,Star Wars,312,5.0,12,21,31.0,92,281.0,0.1103202846975089,0.039265039013340046
40205-1,2016,206,Seasonal,238,0.0,16,15,29.0,103,209.0,0.13875598086124402,0.0332242637805185
4596-1,2002,112,Racers,90,1.0,12,22,23.0,47,67.0,0.34328358208955223,0.01594093464216797
6161-1,2007,34,Make & Create,221,0.0,10,10,17.0,81,204.0,0.08333333333333333,0.02802248510781106
4625-1,2012,34,Make & Create,224,1.0,21,15,23.0,87,201.0,0.11442786069651742,0.03070727410017619
4548431-1,2008,22,Creator,701,0.0,15,23,30.0,174,671.0,0.044709388971684055,0.07869787733870291
40081-5,2013,425,Legoland Parks,122,1.0,11,12,15.0,53,107.0,0.14018691588785046,0.017535028106384763
10682-1,2014,34,Make & Create,1017,0.0,21,14,9.0,279,1008.0,0.008928571428571428,0.11200604077523282
45120-1,2014,507,Educational and Dacta,2018,0.0,15,16,0.0,51,2018.0,0.0,0.1757697793439047
8114-1,2008,389,Exo-Force,189,1.0,15,27,29.0,84,160.0,0.18125,0.02852588304387952
6335-1,1996,50,Town,403,6.0,14,24,53.0,300,350.0,0.15142857142857144,0.06670022652907123
3724-1,2001,276,Sculptures,1535,0.0,8,13,5.0,71,1530.0,0.0032679738562091504,0.13650474033056464
5475-1,2006,34,Make & Create,191,0.0,9,9,10.0,54,181.0,0.055248618784530384,0.022485107811057975
5489-1,2009,34,Make & Create,680,1.0,16,22,27.0,198,653.0,0.04134762633996937,0.07878177699471432
4924-1,2004,206,Seasonal,335,0.0,18,16,35.0,171,300.0,0.11666666666666667,0.0478228039265039
10167-1,2004,301,Other,182,0.0,20,16,39.0,107,143.0,0.2727272727272727,0.030119976508096318
40081-2,2013,425,Legoland Parks,122,1.0,11,12,15.0,53,107.0,0.14018691588785046,0.017535028106384763
10697-1,2015,621,Classic,1500,0.0,39,25,36.0,378,1464.0,0.02459016393442623,0.16553402131051262
ANNAPOLIS-1,2009,408,LEGO Brand Store,45,0.0,6,9,15.0,24,30.0,0.5,0.007886567665072574
79003-1,2012,561,The Hobbit and Lord of the Rings,665,6.0,26,20,60.0,205,605.0,0.09917355371900827,0.08196996392314791
9764-1,2007,398,FIRST LEGO League,1570,1.0,21,31,37.0,289,1533.0,0.024135681669928244,0.16310093128618172
9793-1,2002,507,Educational and Dacta,834,0.0,16,26,16.0,165,818.0,0.019559902200488997,0.0882624381240037
4000001-1,2011,599,LEGO Exclusive,795,0.0,16,24,35.0,188,760.0,0.046052631578947366,0.0883463377800151
2876-1,1997,206,Seasonal,9,0.0,4,3,3.0,6,6.0,0.5,0.001677993120228207
4630-1,2012,34,Make & Create,1000,0.0,22,16,16.0,236,984.0,0.016260162601626018,0.1078110579746623
7804-1,2009,22,Creator,33,0.0,5,6,5.0,13,28.0,0.17857142857142858,0.00478228039265039
