set_num,year,theme_id,theme_name,number_of_parts,minifig_quantitiy,number_of_colors,number_of_categories,number_of_unique_parts,number_of_different_parts,not_unique_parts,proportion_unique_to_not_unique,complexity_score
41637-1,2019,610,Brickheadz,137,0.0,13,14,29.0,60,108.0,0.26851851851851855,0.020807114690829766
70421-1,2019,676,Hidden Side,429,4.0,26,33,89.0,205,340.0,0.26176470588235295,0.06552563134491149
40367-1,2019,610,Brickheadz,153,0.0,9,13,20.0,50,133.0,0.15037593984962405,0.020135917442738484
75232-1,2019,610,Brickheadz,240,0.0,11,14,29.0,81,211.0,0.13744075829383887,0.03104287272422183
60242-1,2020,52,City,185,2.0,20,21,44.0,101,141.0,0.3120567375886525,0.03087507341219901
60248-1,2020,52,City,93,3.0,15,22,29.0,50,64.0,0.453125,0.017367228794361943
75272-1,2020,158,Star Wars,470,3.0,14,19,28.0,119,442.0,0.06334841628959276,0.05436697709539391
5007539-1,2019,598,Promotional,128,0.0,12,15,18.0,56,110.0,0.16363636363636364,0.01879352294655592
60272-1,2020,52,City,166,2.0,21,24,60.0,99,106.0,0.5660377358490566,0.0307911737561876
40381-1,2020,610,Brickheadz,175,0.0,14,13,17.0,66,158.0,0.10759493670886076,0.023491903683194898
41443-1,2021,494,Friends,183,2.0,21,25,52.0,108,131.0,0.3969465648854962,0.0323852672204044
40466-1,2021,610,Brickheadz,249,0.0,13,17,35.0,101,214.0,0.16355140186915887,0.034398858964678244
40441-1,2021,610,Brickheadz,250,0.0,11,14,31.0,105,219.0,0.1415525114155251,0.0340632603406326
40442-1,2021,610,Brickheadz,186,0.0,15,12,19.0,64,167.0,0.11377245508982035,0.024414799899320414
5006744-1,2021,598,Promotional,236,0.0,9,17,19.0,58,217.0,0.08755760368663594,0.02802248510781106
40421-1,2021,610,Brickheadz,309,0.0,16,16,21.0,98,288.0,0.07291666666666667,0.03817434348519171
40420-1,2021,610,Brickheadz,244,0.0,11,11,24.0,94,220.0,0.10909090909090909,0.03179796962832453
21171-1,2021,577,Minecraft,241,2.0,21,12,32.0,110,209.0,0.15311004784688995,0.034650557932712475
40482-1,2021,610,Brickheadz,243,0.0,19,15,37.0,108,206.0,0.1796116504854369,0.034986156556758116
75309-1,2021,158,Star Wars,3292,2.0,21,34,52.0,529,3240.0,0.016049382716049384,0.3293061498447856
45817-1,2021,398,FIRST LEGO League,885,0.0,27,37,69.0,277,816.0,0.08455882352941177,0.10823055625471936
77944-1,2021,52,City,910,6.0,23,35,113.0,308,797.0,0.14178168130489335,0.11662052185586039
40543-1,2022,610,Brickheadz,236,0.0,15,11,30.0,108,206.0,0.14563106796116504,0.03314036412450709
40540-1,2022,610,Brickheadz,239,0.0,14,18,36.0,103,203.0,0.17733990147783252,0.03397936068462119
19002-1,2019,719,BrickLink Designer Program,1279,0.0,28,27,51.0,284,1228.0,0.041530944625407164,0.13960902760298682
40547-1,2022,610,Brickheadz,260,0.0,16,14,35.0,119,225.0,0.15555555555555556,0.03683194898900914
40545-1,2022,610,Brickheadz,203,0.0,18,15,22.0,84,181.0,0.12154696132596685,0.02827418407584529
6349567-1,2020,206,Seasonal,67,0.0,4,6,4.0,17,63.0,0.06349206349206349,0.007802668009061163
40615-1,2023,610,Brickheadz,152,0.0,11,15,32.0,65,120.0,0.26666666666666666,0.022652907123080795
11031-1,2023,621,Classic,135,0.0,12,11,11.0,52,124.0,0.08870967741935484,0.018122325698464635
40618-1,2023,610,Brickheadz,250,0.0,14,12,13.0,73,237.0,0.05485232067510549,0.029952177196073498
40616-1,2023,610,Brickheadz,267,0.0,18,13,17.0,85,250.0,0.068,0.03314036412450709
40617-1,2023,610,Brickheadz,262,0.0,16,13,17.0,84,245.0,0.06938775510204082,0.03246916687641581
40627-1,2023,610,Brickheadz,139,0.0,11,10,21.0,54,118.0,0.17796610169491525,0.019296920882624382
40080-1,2013,494,Friends,139,0.0,12,9,15.0,56,124.0,0.12096774193548387,0.01896132225857874
75100-1,2015,158,Star Wars,444,3.0,14,25,41.0,154,403.0,0.10173697270471464,0.0567161674637134
6718-1,1997,475,Western,73,2.0,9,13,34.0,46,39.0,0.8717948717948718,0.01443074083396258
6746-1,1997,475,Western,135,3.0,11,21,26.0,63,109.0,0.23853211009174313,0.02131051262689823
10169-1,2005,206,Seasonal,61,0.0,6,5,11.0,33,50.0,0.22,0.00931286181726655
21201-1,2012,598,Promotional,145,0.0,7,2,1.0,31,144.0,0.006944444444444444,0.015185837738065274
70814-1,2014,578,The LEGO Movie,708,4.0,18,37,33.0,186,675.0,0.04888888888888889,0.08230556254719355
40018-1,2011,206,Seasonal,95,0.0,12,14,24.0,57,71.0,0.3380281690140845,0.01652823223424784
7073-1,2004,279,4 Juniors,66,0.0,12,21,35.0,49,31.0,1.1290322580645162,0.014934138770031044
21200-1,2011,598,Promotional,146,0.0,7,3,2.0,32,144.0,0.013888888888888888,0.015521436362110915
2532-1,1998,50,Town,143,3.0,13,20,33.0,69,110.0,0.3,0.023156305059149257
41095-1,2015,494,Friends,728,3.0,35,26,96.0,283,632.0,0.1518987341772152,0.09782699890930448
1370-1,2001,273,Studios,157,3.0,11,19,24.0,65,133.0,0.18045112781954886,0.022988505747126436
3300003-1,2012,408,LEGO Brand Store,280,0.0,19,13,12.0,76,268.0,0.04477611940298507,0.03314036412450709
2718-1,2001,598,Promotional,144,3.0,13,20,34.0,70,110.0,0.3090909090909091,0.023408004027183488
70594-1,2016,435,Ninjago,775,8.0,25,36,138.0,343,637.0,0.21664050235478807,0.11074754593506167
60108-1,2016,52,City,257,3.0,19,25,71.0,137,186.0,0.3817204301075269,0.042537125597785046
40070-1,2013,408,LEGO Brand Store,22,0.0,5,7,8.0,15,14.0,0.5714285714285714,0.004362782112593338
70227-1,2015,571,Legends of Chima,863,6.0,26,37,71.0,241,792.0,0.08964646464646464,0.10395167379813743
75095-1,2015,158,Star Wars,1685,1.0,16,26,37.0,195,1648.0,0.022451456310679612,0.16402382750230723
70332-1,2016,605,Nexo Knights,82,1.0,16,17,21.0,43,61.0,0.3442622950819672,0.014682439801996811
850425-1,2012,301,Other,150,2.0,7,6,9.0,57,141.0,0.06382978723404255,0.01896132225857874
9544-1,2006,507,Educational and Dacta,554,0.0,10,16,19.0,66,535.0,0.03551401869158879,0.055373772967530835
21208-1,2014,590,Fusion,262,1.0,12,7,3.0,59,259.0,0.011583011583011582,0.02844198338786811
850426-1,2012,301,Other,157,1.0,9,9,8.0,29,149.0,0.053691275167785234,0.017451128450373353
60166-1,2017,52,City,415,4.0,19,35,95.0,193,320.0,0.296875,0.06342813994462623
41629-1,2018,610,Brickheadz,161,0.0,16,14,39.0,88,122.0,0.319672131147541,0.02626059233157144
41624-1,2018,610,Brickheadz,109,0.0,11,13,17.0,57,92.0,0.18478260869565216,0.01694773051430489
41625-1,2018,610,Brickheadz,129,0.0,11,15,23.0,69,106.0,0.2169811320754717,0.020303716754761305
2000211-1,2015,507,Educational and Dacta,15,0.0,5,2,2.0,6,13.0,0.15384615384615385,0.002097491400285259
40359-1,2019,408,LEGO Brand Store,170,1.0,14,15,21.0,74,149.0,0.14093959731543623,0.024330900243309004
4002018-1,2018,599,LEGO Exclusive,1099,3.0,14,26,53.0,274,1046.0,0.05066921606118547,0.12282909640070476
41498-1,2017,610,Brickheadz,329,0.0,17,16,45.0,119,284.0,0.15845070422535212,0.043711720781944796
2000210-1,2015,507,Educational and Dacta,55,0.0,8,2,2.0,13,53.0,0.03773584905660377,0.006292474200855777
6218707-1,2017,408,LEGO Brand Store,126,0.0,3,5,0.0,14,126.0,0.0,0.01199765080963168
852522-1,2009,301,Other,179,0.0,6,6,0.0,23,179.0,0.0,0.017535028106384763
6386182-1,2021,599,LEGO Exclusive,107,0.0,5,8,10.0,36,97.0,0.10309278350515463,0.013507844617837068
10304-1,2022,721,Icons,1456,0.0,22,32,74.0,394,1382.0,0.053545586107091175,0.16553402131051262
6162-1,2007,276,Sculptures,286,0.0,13,9,5.0,25,281.0,0.017793594306049824,0.027938585451799648
40222-1,2016,206,Seasonal,250,0.0,26,18,42.0,158,208.0,0.20192307692307693,0.04102693178957966
5860-1,1994,318,Belville,58,0.0,12,12,27.0,45,31.0,0.8709677419354839,0.012501048745700143
30270-1,2013,570,Teenage Mutant Ninja Turtles,36,1.0,12,12,14.0,31,22.0,0.6363636363636364,0.008473865257152446
40000-1,2009,206,Seasonal,159,0.0,10,11,19.0,65,140.0,0.1357142857142857,0.021730010906955283
6163-1,2007,276,Sculptures,598,0.0,15,12,11.0,42,587.0,0.018739352640545145,0.05646446849567917
7176-1,2007,34,Make & Create,21,0.0,3,3,2.0,9,19.0,0.10526315789473684,0.0027686886483765417
70910-1,2017,695,Super Heroes DC,203,3.0,19,26,60.0,127,143.0,0.4195804195804196,0.03632855105294068
40242-1,2017,408,LEGO Brand Store,54,0.0,10,13,10.0,28,44.0,0.22727272727272727,0.009228962161255138
75184-1,2017,206,Seasonal,309,8.0,22,20,66.0,185,243.0,0.2716049382716049,0.050759291886903264
21156-1,2020,577,Minecraft,184,0.0,16,15,24.0,74,160.0,0.15,0.02584109405151439
21157-1,2020,577,Minecraft,159,0.0,11,7,17.0,50,142.0,0.11971830985915492,0.020052017786727074
NINJATRU-2,2015,435,Ninjago,97,0.0,5,2,1.0,5,96.0,0.010416666666666666,0.008809463881198087
SLEIGHORNAMENT-1,2020,206,Seasonal,75,0.0,11,12,11.0,38,64.0,0.171875,0.01191375115362027
40544-1,2022,610,Brickheadz,237,0.0,12,13,31.0,104,206.0,0.15048543689320387,0.03288866515647286
40556-1,2022,425,Legoland Parks,520,2.0,31,19,51.0,172,469.0,0.10874200426439233,0.06628072824901418
75323-1,2022,158,Star Wars,1023,4.0,26,34,69.0,310,954.0,0.07232704402515723,0.12257739743267053
40568-1,2022,22,Creator,213,0.0,20,15,29.0,109,184.0,0.15760869565217392,0.03196576894034735
41738-1,2023,494,Friends,125,2.0,23,24,52.0,92,73.0,0.7123287671232876,0.02626059233157144
71461-1,2023,749,Dreamzzz,1257,7.0,42,36,154.0,493,1103.0,0.13961922030825022,0.16645691752663813
6089-1,1998,434,Ninja,410,5.0,11,25,26.0,98,384.0,0.06770833333333333,0.0478228039265039
4166-1,2000,388,Disney's Mickey Mouse,92,0.0,11,22,27.0,51,65.0,0.4153846153846154,0.01661213189025925
3466-1,2000,254,Bulk Bricks,25,0.0,1,1,0.0,1,25.0,0.0,0.0019296920882624382
4147-1,1996,399,Freestyle,191,0.0,7,10,19.0,55,172.0,0.11046511627906977,0.023240204715160667
6087-1,1997,186,Castle,255,6.0,14,24,54.0,100,201.0,0.26865671641791045,0.03758704589311184
9376-1,1997,507,Educational and Dacta,337,14.0,14,18,6.0,88,331.0,0.01812688821752266,0.03960063763738569
6093-1,1998,434,Ninja,698,9.0,14,23,37.0,143,661.0,0.05597579425113464,0.07710378387448612
6097-1,1997,186,Castle,607,8.0,16,25,60.0,165,547.0,0.10968921389396709,0.07349609866599546
4135-1,1996,399,Freestyle,121,0.0,6,9,14.0,44,107.0,0.1308411214953271,0.015857034986156558
