fig_num,minifig_name,number_of_minifig_parts,inventory_id,minifig_quantitiy,set_num,set_name,year,number_of_parts,theme_id,theme_name,version
fig-005124,"Pirate - Blue Stripes, White Legs, Red Bandana, 3626b",4,15467,1,6286-1,Skull's Eye Schooner,1993,924,147,Pirates,1
fig-005149,"Pirate - Red Stripes, Blue Legs, Blue Bandana",4,15467,1,6286-1,Skull's Eye Schooner,1993,924,147,Pirates,1
fig-005262,"Pirate - Captain, Light Gray Hook, Bicorne with Skull, 3626b",5,15467,1,6286-1,Skull's Eye Schooner,1993,924,147,Pirates,1
fig-005503,"Pirate - Blue Jacket, White Legs, Black Tricorne (3626b Head)",4,15467,1,6286-1,Skull's Eye Schooner,1993,924,147,Pirates,1
fig-005526,"Pirate - Brown Vest, Light Gray Legs, Black Tricorne",4,15467,1,6286-1,Skull's Eye Schooner,1993,924,147,Pirates,1
fig-005533,"Pirate - Female, White Legs, Blue Bandana, 3626b",4,15467,1,6286-1,Skull's Eye Schooner,1993,924,147,Pirates,1
fig-000054,"Clone Pilot, Phase I Armor, Plain Black Head",4,766,1,7958-1,Star Wars Advent Calendar 2011,2011,267,206,Seasonal,1
fig-000078,"Nute Gunray, Dark Red Robe",4,766,1,7958-1,Star Wars Advent Calendar 2011,2011,267,206,Seasonal,1
fig-000124,"Chewbacca, Reddish Brown",3,766,1,7958-1,Star Wars Advent Calendar 2011,2011,267,206,Seasonal,1
fig-000235,Zev Senesca with Plain Helmet,4,766,1,7958-1,Star Wars Advent Calendar 2011,2011,267,206,Seasonal,1
fig-000837,"TIE Pilot, Plain Legs, Plain Black Head (87556 Helmet)",4,766,1,7958-1,Star Wars Advent Calendar 2011,2011,267,206,Seasonal,1
fig-001063,"Yoda, Sand Green Head, Santa Outfit, Backpack",4,766,1,7958-1,Star Wars Advent Calendar 2011,2011,267,206,Seasonal,1
fig-003798,"Battle Droid Pilot, Blue Torso with Tan Print, One Bent Arm, One Straight Arm",5,766,1,7958-1,Star Wars Advent Calendar 2011,2011,267,206,Seasonal,1
fig-003799,R2-Q5,4,766,1,7958-1,Star Wars Advent Calendar 2011,2011,267,206,Seasonal,1
fig-000055,Itchy,3,8945,1,71005-13,Itchy,2014,5,535,Collectible Minifigures,1
fig-000056,"Clone Trooper Lieutenant, Dark Azure Markings, Plain Legs",4,3609,1,5001709-1,Clone Trooper Lieutenant,2013,5,158,Star Wars,1
fig-000057,Archer (Fright Knights),5,4029,1,6004-1,Crossbow Cart,1997,21,186,Castle,1
fig-000057,Archer (Fright Knights),5,4757,1,6087-1,Witch's Magic Manor,1997,255,186,Castle,1
fig-002229,"Skeleton, Standard Face, Ball Joint Arms (3626b Head)",6,4757,1,6087-1,Witch's Magic Manor,1997,255,186,Castle,1
fig-006879,"Forestman (Dark Forest) - Light Gray Legs, Brown Hood",4,4757,1,6087-1,Witch's Magic Manor,1997,255,186,Castle,1
fig-007113,"Knight (Fright Knights) - Black Helmet, Red Plume",5,4757,1,6087-1,Witch's Magic Manor,1997,255,186,Castle,1
fig-007116,"Knight (Fright Knights) - Red Legs, Red Hips",4,4757,1,6087-1,Witch's Magic Manor,1997,255,186,Castle,1
fig-007117,Witch (Fright Knights) - Cape,5,4757,1,6087-1,Witch's Magic Manor,1997,255,186,Castle,1
fig-000057,Archer (Fright Knights),5,8219,1,6097-1,Night Lord's Castle,1997,607,186,Castle,1
fig-000216,"Knight (Royal Knights) - Blue Legs, Dark Gray Neck-Protector",4,8219,1,6097-1,Night Lord's Castle,1997,607,186,Castle,1
fig-000430,"Knight (Fright Knights) - Red Legs, Black Hips",4,8219,1,6097-1,Night Lord's Castle,1997,607,186,Castle,1
fig-000648,Bat Lord (Fright Knights) - Cape,5,8219,1,6097-1,Night Lord's Castle,1997,607,186,Castle,1
fig-002229,"Skeleton, Standard Face, Ball Joint Arms (3626b Head)",6,8219,1,6097-1,Night Lord's Castle,1997,607,186,Castle,1
fig-007112,"Knight (Fright Knights) - Black Helmet, Red Triple-Plume",5,8219,1,6097-1,Night Lord's Castle,1997,607,186,Castle,1
fig-007114,"Knight (Fright Knights) - Dark Gray Legs, Black Chin-Guard",4,8219,1,6097-1,Night Lord's Castle,1997,607,186,Castle,1
fig-007117,Witch (Fright Knights) - Cape,5,8219,1,6097-1,Night Lord's Castle,1997,607,186,Castle,1
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4,3328,1,75016-1,Homing Spider Droid,2013,295,158,Star Wars,1
fig-003977,Stass Allie,4,3328,1,75016-1,Homing Spider Droid,2013,295,158,Star Wars,1
fig-012482,"Dwarf Spider Droid, Dark Bluish Gray Dome, Fixed Dark Bluish Gray Cannon",36,3328,1,75016-1,Homing Spider Droid,2013,295,158,Star Wars,1
fig-014070,"Super Battle Droid, Pearl Titanium",4,3328,2,75016-1,Homing Spider Droid,2013,295,158,Star Wars,1
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-000332,"Boba Fett, Child, Dark Azure Outfit",4,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-000338,"Jango Fett, Santa Outfit",5,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-000466,"Geonosian, Dark Tan",3,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-000796,"Rebel Trooper in Endor Uniform, Sand Green Legs, Goatee Beard",4,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-001257,"Scout Trooper, Printed Black Head, Black Legs",4,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-002330,"Battle Droid, One Bent Arm, One Straight Arm",5,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-003800,FA-4 Pilot Droid,9,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-003801,R5-F7,4,4051,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,1
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4,6610,1,75000-1,Clone Troopers vs. Droidekas,2013,124,158,Star Wars,1
fig-003975,Clone Trooper Sergeant,4,6610,1,75000-1,Clone Troopers vs. Droidekas,2013,124,158,Star Wars,1
fig-003976,"Droideka / Destroyer Droid, Reddish Brown Shell, Pearl Dark Gray Legs, No Back Armor",28,6610,2,75000-1,Clone Troopers vs. Droidekas,2013,124,158,Star Wars,1
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4,7018,1,75015-1,Corporate Alliance Tank Droid,2013,271,158,Star Wars,1
fig-003978,"Battle Droid, Dark Orange, One Straight Arm, One Bent Arm, 1 x 2 Plate on Back",6,7018,1,75015-1,Corporate Alliance Tank Droid,2013,271,158,Star Wars,1
fig-003979,"Jango Fett, Dark Bluish Gray Torso",6,7018,1,75015-1,Corporate Alliance Tank Droid,2013,271,158,Star Wars,1
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4,14416,1,75007-1,Republic Assault Ship & Planet Coruscant,2013,74,158,Star Wars,1
fig-000058,"Clone Trooper, Phase I Armor, Angry, Plain Legs",4,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-000332,"Boba Fett, Child, Dark Azure Outfit",4,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-000338,"Jango Fett, Santa Outfit",5,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-000466,"Geonosian, Dark Tan",3,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-000796,"Rebel Trooper in Endor Uniform, Sand Green Legs, Goatee Beard",4,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-001257,"Scout Trooper, Printed Black Head, Black Legs",4,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-002330,"Battle Droid, One Bent Arm, One Straight Arm",5,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-003800,FA-4 Pilot Droid,9,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-003801,R5-F7,4,165897,1,75023-1,Star Wars Advent Calendar 2013,2013,254,206,Seasonal,2
fig-000060,Edna Krabappel (CMF),4,3629,1,71009-14,Edna Krabappel,2015,7,535,Collectible Minifigures,1
fig-000061,Blacktron II - 3626a Head,6,63,2,6981-1,Aerial Intruder,1991,267,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,301,1,1462-1,Galactic Scout,1992,23,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,3040,1,6887-1,Allied Avenger,1991,100,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,3727,1,6832-1,Super Nova II,1991,42,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,4545,1,1694-1,Galactic Scout,1992,23,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,5225,1,1887-1,Scout Patrol Ship,1992,30,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,10021,2,6933-1,Spectral Starguider,1991,212,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,10789,2,1479-1,2-Pilot Craft,1991,34,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,11644,1,6851-1,Tri-Wheeled Tyrax,1991,38,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,13232,1,6704-1,Minifig Pack,1991,44,126,Space,1
fig-000065,M:Tron,6,13232,1,6704-1,Minifig Pack,1991,44,126,Space,1
fig-000070,Space Police I,6,13232,1,6704-1,Minifig Pack,1991,44,126,Space,1
fig-000406,Blacktron I (3626a Head),6,13232,1,6704-1,Minifig Pack,1991,44,126,Space,1
fig-002231,M-Tron - Backpack,8,13232,1,6704-1,Minifig Pack,1991,44,126,Space,1
fig-002777,"Blacktron II - Jetpack, 3626a Head, No Plate 1 x 1 Round",6,13232,1,6704-1,Minifig Pack,1991,44,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,15147,2,6861-2,Super Model Building Instruction,1993,178,126,Space,1
fig-002777,"Blacktron II - Jetpack, 3626a Head, No Plate 1 x 1 Round",6,15147,1,6861-2,Super Model Building Instruction,1993,178,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,16309,5,6988-1,Alpha Centauri Outpost,1991,406,126,Space,1
fig-000061,Blacktron II - 3626a Head,6,24815,1,6851-1,Tri-Wheeled Tyrax,1991,38,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38828,2,1479-1,2-Pilot Craft,1991,34,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38829,2,6981-1,Aerial Intruder,1991,267,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38830,1,6887-1,Allied Avenger,1991,100,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38831,5,6988-1,Alpha Centauri Outpost,1991,406,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38833,1,1694-1,Galactic Scout,1992,23,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38834,1,1462-1,Galactic Scout,1992,23,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38836,1,1887-1,Scout Patrol Ship,1992,30,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38837,2,6933-1,Spectral Starguider,1991,212,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38839,2,6861-2,Super Model Building Instruction,1993,178,126,Space,2
fig-004736,"Blacktron II - Jetpack, 3626b Head, No Plate 1 x 1 Round",6,38839,1,6861-2,Super Model Building Instruction,1993,178,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38840,1,6832-1,Super Nova II,1991,42,126,Space,2
fig-000062,Blacktron II - 3626b Head,6,38841,1,6851-1,Tri-Wheeled Tyrax,1991,38,126,Space,3
fig-000063,Scratchy (CMF),4,8288,1,71005-14,Scratchy,2014,6,535,Collectible Minifigures,1
fig-000064,"Clone Trooper, 91st Mobile Reconnaissance Corps, Dark Red Markings",4,1976,1,7250-1,Clone Scout Walker,2005,109,158,Star Wars,1
fig-000064,"Clone Trooper, 91st Mobile Reconnaissance Corps, Dark Red Markings",4,187207,1,7250-1,Clone Scout Walker,2005,109,158,Star Wars,2
fig-000065,M:Tron,6,350,3,6989-1,Mega Core Magnetizer,1990,506,126,Space,1
fig-000065,M:Tron,6,1094,2,6956-1,Stellar Recon Voyager,1990,233,126,Space,1
fig-000065,M:Tron,6,1387,1,6923-1,Particle Ionizer,1990,192,126,Space,1
fig-010419,M: Tron Droid,12,1387,1,6923-1,Particle Ionizer,1990,192,126,Space,1
fig-000065,M:Tron,6,1437,1,6811-1,Pulsar Charger,1990,26,126,Space,1
fig-000065,M:Tron,6,4954,1,6896-1,Celestial Forager,1990,92,126,Space,1
fig-000065,M:Tron,6,10011,1,1478-1,Mobile Satellite Up-Link,1991,31,126,Space,1
fig-000065,M:Tron,6,11516,3,6862-1,Secret Space Voyager,1991,254,126,Space,1
fig-000065,M:Tron,6,13663,1,6877-1,Vector Detector,1990,62,126,Space,1
fig-000065,M:Tron,6,15639,1,6833-1,Beacon Tracer,1990,40,126,Space,1
fig-000065,M:Tron,6,20008,1,6833-1,Beacon Tracer,1990,40,126,Space,2
fig-000065,M:Tron,6,38961,1,6923-1,Particle Ionizer,1990,192,126,Space,2
fig-010419,M: Tron Droid,12,38961,1,6923-1,Particle Ionizer,1990,192,126,Space,2
fig-000066,Waiter,4,10478,1,71000-1,Waiter,2013,7,535,Collectible Minifigures,1
fig-000068,Chief Wiggum (CMF),3,369,1,71005-15,Chief Wiggum,2014,6,535,Collectible Minifigures,1
fig-000069,"Ninja, White",4,756,1,852769-1,Vintage Minifigure Collection Vol. 5,2010,20,535,Collectible Minifigures,1
fig-006863,Forestwoman (Reissue),4,756,1,852769-1,Vintage Minifigure Collection Vol. 5,2010,20,535,Collectible Minifigures,1
fig-007423,"Doctor, Woman, White Torso with Stethoscope and Red Cross, Red Legs, Black Hair (3626b Head)",4,756,1,852769-1,Vintage Minifigure Collection Vol. 5,2010,20,535,Collectible Minifigures,1
fig-007428,"Woman, Open Red Hoodie over Crop Top with LEGO Logo on Back, White Legs",4,756,1,852769-1,Vintage Minifigure Collection Vol. 5,2010,20,535,Collectible Minifigures,1
fig-007459,"Airline Worker, Woman, Blue Jacket with Plane Logo and White Scarf, White Legs, Black Hair, Red Lips",4,756,1,852769-1,Vintage Minifigure Collection Vol. 5,2010,20,535,Collectible Minifigures,1
fig-000069,"Ninja, White",4,1440,1,3053-1,Emperor's Stronghold,1999,335,434,Ninja,1
fig-000156,"Ninja, Red",4,1440,2,3053-1,Emperor's Stronghold,1999,335,434,Ninja,1
fig-000475,"Shogun, Armor and Helmet with Horn, White Robe",6,1440,1,3053-1,Emperor's Stronghold,1999,335,434,Ninja,1
fig-000069,"Ninja, White",4,4667,1,1269-1,White Ninja,1999,23,434,Ninja,1
fig-000069,"Ninja, White",4,5944,1,2856223-1,Ninja Princess,2011,7,598,Promotional,1
fig-000069,"Ninja, White",4,9687,1,3076-1,White Ninja's Attack Cart,1999,23,434,Ninja,1
fig-000069,"Ninja, White",4,13577,1,5000439-1,Vintage Minifigure Collection Vol. 3 - 2012 Edition,2012,20,535,Collectible Minifigures,1
fig-002037,Cavalry Colonel,4,13577,1,5000439-1,Vintage Minifigure Collection Vol. 3 - 2012 Edition,2012,20,535,Collectible Minifigures,1
fig-006863,Forestwoman (Reissue),4,13577,1,5000439-1,Vintage Minifigure Collection Vol. 3 - 2012 Edition,2012,20,535,Collectible Minifigures,1
fig-007423,"Doctor, Woman, White Torso with Stethoscope and Red Cross, Red Legs, Black Hair (3626b Head)",4,13577,1,5000439-1,Vintage Minifigure Collection Vol. 3 - 2012 Edition,2012,20,535,Collectible Minifigures,1
fig-007424,"Chef, Red Neckerchief, Black Legs, Moustache",4,13577,1,5000439-1,Vintage Minifigure Collection Vol. 3 - 2012 Edition,2012,20,535,Collectible Minifigures,1
fig-000070,Space Police I,6,728,1,6886-1,Galactic Peace Keeper,1989,121,126,Space,1
fig-000406,Blacktron I (3626a Head),6,728,1,6886-1,Galactic Peace Keeper,1989,121,126,Space,1
fig-000070,Space Police I,6,808,1,6895-1,Spy-Trak 1,1989,152,126,Space,1
fig-000406,Blacktron I (3626a Head),6,808,1,6895-1,Spy-Trak 1,1989,152,126,Space,1
fig-000070,Space Police I,6,5893,1,6781-1,SP-Striker,1989,231,126,Space,1
fig-000406,Blacktron I (3626a Head),6,5893,1,6781-1,SP-Striker,1989,231,126,Space,1
fig-000070,Space Police I,6,8252,1,6831-1,Message Decoder,1989,34,126,Space,1
fig-000070,Space Police I,6,10584,2,6955-1,Space Lock-Up Isolation Base,1989,252,126,Space,1
fig-000406,Blacktron I (3626a Head),6,10584,1,6955-1,Space Lock-Up Isolation Base,1989,252,126,Space,1
fig-000070,Space Police I,6,12670,2,6986-1,Mission Commander,1989,477,126,Space,1
fig-000406,Blacktron I (3626a Head),6,12670,1,6986-1,Mission Commander,1989,477,126,Space,1
fig-000071,Exploriens Droid with Helmet,5,15295,1,1858-1,Droid Scout,1996,23,126,Space,1
fig-000072,"Knight (Breastplate on Black) - Black Legs, Armor, Red Dragon Plume",9,16128,1,6009-1,Black Knight,1992,24,186,Castle,1
fig-000073,"Chef, Red Neckerchief, Light Bluish Gray Legs, Goatee Beard",4,1325,1,7178-1,Chef,2007,5,34,Make & Create,1
fig-000074,"Man, Green Jacket, Green Legs, Green Cap, Sunglasses",4,10897,1,6564-1,Recycle Truck,1997,35,50,Town,1
fig-000075,"Stormtrooper, Plain Black Head, Pauldron and Neck Bracket",11,7595,1,8092-1,Luke's Landspeeder,2010,163,158,Star Wars,1
fig-002687,"R2-D2, Light Bluish Gray Dome",4,7595,1,8092-1,Luke's Landspeeder,2010,163,158,Star Wars,1
fig-002689,"C-3PO, Pearl Gold",3,7595,1,8092-1,Luke's Landspeeder,2010,163,158,Star Wars,1
fig-003832,"Obi-Wan Kenobi, Old, Tan Robes, Hair, White Pupils, Gray Beard",4,7595,1,8092-1,Luke's Landspeeder,2010,163,158,Star Wars,1
fig-003833,"Luke Skywalker, White Robe, Straight Tan Hair, White Pupils",4,7595,1,8092-1,Luke's Landspeeder,2010,163,158,Star Wars,1
fig-010450,Sentry Droid,8,7595,1,8092-1,Luke's Landspeeder,2010,163,158,Star Wars,1
fig-000076,"Futuron Spaceman, Black with Airtanks and Dark Blue Visor",6,2759,1,6810-1,Laser Ranger,1989,41,126,Space,1
fig-000076,"Futuron Spaceman, Black with Airtanks and Dark Blue Visor",6,13962,1,6703-1,Space Mini-Figures,1988,42,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,13962,1,6703-1,Space Mini-Figures,1988,42,126,Space,1
fig-000406,Blacktron I (3626a Head),6,13962,2,6703-1,Space Mini-Figures,1988,42,126,Space,1
fig-000747,"Futuron Spaceman, Blue with Airtanks and Dark Blue Visor",6,13962,1,6703-1,Space Mini-Figures,1988,42,126,Space,1
fig-006946,"Futuron Spaceman, Red with Airtanks and Dark Blue Visor",6,13962,1,6703-1,Space Mini-Figures,1988,42,126,Space,1
fig-000076,"Futuron Spaceman, Black with Airtanks and Dark Blue Visor",6,14630,1,6885-1,Saturn Base Main Team (Crater Crawler),1988,101,126,Space,1
fig-000077,"Doctor, White Shirt with Star of Life Logo, Blue Cap, Glasses",4,15012,1,30000-1,Doctor With Car,2009,30,52,City,1
fig-000078,"Nute Gunray, Dark Red Robe",4,5428,1,852844-1,Star Wars Magnet Set,2010,16,501,Gear,1
fig-003805,Onaconda Farr,3,5428,1,852844-1,Star Wars Magnet Set,2010,16,501,Gear,1
fig-003811,"Chancellor Palpatine, Red Outfit (Clone Wars)",6,5428,1,852844-1,Star Wars Magnet Set,2010,16,501,Gear,1
fig-000078,"Nute Gunray, Dark Red Robe",4,13309,1,8036-1,Separatist Shuttle,2009,259,158,Star Wars,1
fig-002330,"Battle Droid, One Bent Arm, One Straight Arm",5,13309,2,8036-1,Separatist Shuttle,2009,259,158,Star Wars,1
fig-003805,Onaconda Farr,3,13309,1,8036-1,Separatist Shuttle,2009,259,158,Star Wars,1
fig-003806,"Battle Droid Pilot, Blue Torso, Two Bent Arms",5,13309,1,8036-1,Separatist Shuttle,2009,259,158,Star Wars,1
fig-000079,"Astronaut, White, White Hips, Helmet with Large Chrome Gold Visor, Headset",5,4408,1,1181-1,Space Port Spacecraft,1999,23,50,Town,1
fig-000079,"Astronaut, White, White Hips, Helmet with Large Chrome Gold Visor, Headset",5,8068,1,1266-1,Space Probe,1999,23,50,Town,1
fig-000079,"Astronaut, White, White Hips, Helmet with Large Chrome Gold Visor, Headset",5,9611,1,3069-1,Cosmic Wing,1999,23,50,Town,1
fig-000080,Pretzel Girl (CMF),5,8705,1,71002-3,Pretzel Girl,2013,7,535,Collectible Minifigures,1
fig-000081,Waylon Smithers (CMF),3,13110,1,71009-15,Smithers,2015,6,535,Collectible Minifigures,1
fig-000082,Yeti (CMF),3,4455,1,71002-8,Yeti,2013,5,535,Collectible Minifigures,1
fig-000083,Fangdam,3,4516,1,9445-1,Fangpyre Truck Ambush,2012,452,435,Ninjago,1
fig-000149,Jay ZX with Shoulder Armour,5,4516,1,9445-1,Fangpyre Truck Ambush,2012,452,435,Ninjago,1
fig-001490,Zane ZX with Shoulder Armour,5,4516,1,9445-1,Fangpyre Truck Ambush,2012,452,435,Ninjago,1
fig-002570,Fangtom,3,4516,1,9445-1,Fangpyre Truck Ambush,2012,452,435,Ninjago,1
fig-000083,Fangdam,3,4712,1,9457-1,Fangpyre Wrecking Ball,2012,415,435,Ninjago,1
fig-000712,Lloyd Garmadon,5,4712,1,9457-1,Fangpyre Wrecking Ball,2012,415,435,Ninjago,1
fig-000878,"Cole, Kendo Outfit",5,4712,1,9457-1,Fangpyre Wrecking Ball,2012,415,435,Ninjago,1
fig-000083,Fangdam,3,5567,1,9571-1,Fangdam,2012,19,435,Ninjago,1
fig-000083,Fangdam,3,94090,1,853404-1,Ninjago Magnet Set,2012,24,501,Gear,1
fig-000149,Jay ZX with Shoulder Armour,5,94090,1,853404-1,Ninjago Magnet Set,2012,24,501,Gear,1
fig-002575,Master Wu,5,94090,1,853404-1,Ninjago Magnet Set,2012,24,501,Gear,1
fig-000084,"Blue Torso, Light Grey Legs, Black Hair",4,4482,1,4150-1,Freestyle Building Set,1995,91,399,Freestyle,1
fig-000085,"Race Driver, Red Torso, Red Legs, Black Helmet, Zonic",5,3445,1,8357-1,Zonic Strike,2003,107,112,Racers,1
fig-000086,"UFO Droid, Blue",3,3414,1,6829-1,Radon Rover,1997,53,126,Space,1
fig-000086,"UFO Droid, Blue",3,12148,1,3012-1,Space Hover,1999,20,126,Space,1
fig-000086,"UFO Droid, Blue",3,12335,1,4305-1,Xcyber,1997,36,126,Space,1
fig-000086,"UFO Droid, Blue",3,13187,1,6818-1,Cyborg Scout,1997,36,126,Space,1
fig-000086,"UFO Droid, Blue",3,14965,1,6816-1,Cyber Blaster,1997,20,126,Space,1
fig-000086,"UFO Droid, Blue",3,16341,1,6800-1,Cyber Blaster,1997,20,126,Space,1
fig-000087,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet with Visor, Cheek Lines",5,12298,1,7213-1,Off-Road Fire Truck & Fireboat,2010,388,52,City,1
fig-000527,"Fireman with Reflective Stripes and Radio, White Fire Helmet, and Beard Stubble",4,12298,1,7213-1,Off-Road Fire Truck & Fireboat,2010,388,52,City,1
fig-008035,"Fireman, Black Fire Jacket with Reflective Stripes, Radio, and Badge, White Helmet, Sunglasses",4,12298,1,7213-1,Off-Road Fire Truck & Fireboat,2010,388,52,City,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,2757,1,1620-1,Astro Dart,1990,30,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,5210,1,6850-1,Auxiliary Patroller,1989,46,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,5922,2,6932-1,Stardefender 200,1987,251,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,6292,1,6848-1,Strategic Pursuer,1988,62,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,8418,1,6770-1,Lunar Transporter Patroller,1988,117,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,10096,1,6830-1,Space Patroller,1988,51,126,Space,1
fig-010422,"Futuron Droid - Black and White, Trans-Red Eye",8,10096,2,6830-1,Space Patroller,1988,51,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,10377,3,6990-1,Monorail Transport System,1988,731,126,Space,1
fig-000747,"Futuron Spaceman, Blue with Airtanks and Dark Blue Visor",6,10377,2,6990-1,Monorail Transport System,1988,731,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,11441,1,6875-1,Hovercraft,1988,93,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,12243,1,6893-1,Orion II Hyperspace,1987,162,126,Space,1
fig-000747,"Futuron Spaceman, Blue with Airtanks and Dark Blue Visor",6,12243,1,6893-1,Orion II Hyperspace,1987,162,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,13547,1,6953-1,Cosmic Laser Launcher,1987,210,126,Space,1
fig-006946,"Futuron Spaceman, Red with Airtanks and Dark Blue Visor",6,13547,2,6953-1,Cosmic Laser Launcher,1987,210,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,15127,2,6925-1,Interplanetary Rover,1988,211,126,Space,1
fig-010420,"Futuron Droid - Black, Trans-Yellow Eyes",7,15127,2,6925-1,Interplanetary Rover,1988,211,126,Space,1
fig-000088,"Futuron Spaceman, Yellow with Airtanks and Dark Blue Visor",6,59515,3,6990-1,Monorail Transport System,1988,731,126,Space,2
fig-000747,"Futuron Spaceman, Blue with Airtanks and Dark Blue Visor",6,59515,2,6990-1,Monorail Transport System,1988,731,126,Space,2
fig-000089,Video Game Guy (CMF),4,14436,1,71007-4,Video Game Guy,2014,6,535,Collectible Minifigures,1
fig-000090,"Coast Guard, Yellow Jacket with Zipper, Radio and Badge, Light Bluish Gray Helmet, Yellow Life Vest, Sunglasses",5,575,1,5621-1,Coast Guard Kayak,2008,21,52,City,1
fig-000091,"Snowtrooper, Light Bluish Gray Hips, Printed Black Head, White Hands",4,7850,1,9509-1,Star Wars Advent Calendar 2012,2012,235,206,Seasonal,1
fig-000166,"Imperial Officer / Captain / Commandant / Commander, Battle Armor, Black Hips",4,7850,1,9509-1,Star Wars Advent Calendar 2012,2012,235,206,Seasonal,1
fig-000190,"Rebel Trooper in Hoth Uniform, Tan Hat, Moustache",6,7850,1,9509-1,Star Wars Advent Calendar 2012,2012,235,206,Seasonal,1
fig-000270,Darth Maul in Santa Outfit,5,7850,1,9509-1,Star Wars Advent Calendar 2012,2012,235,206,Seasonal,1
fig-000281,"Rebel Trooper / Rebel Fleet Trooper, White Pupils, Smile",5,7850,1,9509-1,Star Wars Advent Calendar 2012,2012,235,206,Seasonal,1
fig-000874,"Gungan Warrior, Dark Tan Legs, Nougat Hands",3,7850,1,9509-1,Star Wars Advent Calendar 2012,2012,235,206,Seasonal,1
fig-003688,"Battle Droid Security, Dark Red Torso, One Bent Arm, One Straight Arm",5,7850,1,9509-1,Star Wars Advent Calendar 2012,2012,235,206,Seasonal,1
